n =  1520, term = 12, ratio = 1.015671, overshoot = 2.184622e+683
n =  1533, term = 13, ratio = 1.064362, overshoot = 4.704012e+689
n =  1545, term = 12, ratio = 1.035976, overshoot = 6.892670e+694
n =  1557, term = 12, ratio = 1.015433, overshoot = 7.751206e+699
n =  1570, term = 13, ratio = 1.042015, overshoot = 2.212706e+706
n =  1582, term = 12, ratio = 1.023751, overshoot = 3.279031e+711
n =  1594, term = 12, ratio = 1.005465, overshoot = 1.977660e+716
n =  1607, term = 13, ratio = 1.021103, overshoot = 8.008538e+722
n =  1619, term = 12, ratio = 1.001131, overshoot = 1.125476e+727
n =  1632, term = 13, ratio = 1.048379, overshoot = 2.523304e+734
n =  1644, term = 12, ratio = 1.030147, overshoot = 4.121814e+739
n =  1656, term = 12, ratio = 1.006272, overshoot = 2.248107e+744
n =  1669, term = 13, ratio = 1.029672, overshoot = 1.115150e+751
n =  1681, term = 12, ratio = 1.010179, overshoot = 1.002886e+756
n =  1694, term = 13, ratio = 1.056454, overshoot = 2.916062e+762
n =  1706, term = 12, ratio = 1.035607, overshoot = 4.821457e+767
n =  1718, term = 12, ratio = 1.015606, overshoot = 5.539424e+772
n =  1731, term = 13, ratio = 1.043424, overshoot = 1.616264e+779
n =  1743, term = 12, ratio = 1.003831, overshoot = 3.737782e+783
n =  1756, term = 13, ratio = 1.024613, overshoot = 2.518178e+790
n =  1768, term = 12, ratio = 1.003909, overshoot = 1.048458e+795
n =  1781, term = 13, ratio = 1.056142, overshoot = 7.894410e+801
n =  1793, term = 12, ratio = 1.037198, overshoot = 1.371164e+807
n =  1805, term = 12, ratio = 1.013661, overshoot = 1.320096e+812
n =  1818, term = 13, ratio = 1.038692, overshoot = 3.920390e+818
n =  1830, term = 12, ratio = 1.018617, overshoot = 4.944979e+823
n =  1843, term = 13, ratio = 1.036337, overshoot = 1.012052e+830
n =  1855, term = 12, ratio = 1.010609, overshoot = 7.746067e+834
n =  1868, term = 13, ratio = 1.055577, overshoot = 2.127402e+841
n =  1880, term = 12, ratio = 1.035455, overshoot = 3.557710e+846
n =  1892, term = 12, ratio = 1.015399, overshoot = 4.050803e+851
n =  1905, term = 13, ratio = 1.029591, overshoot = 8.161985e+857
n =  1917, term = 12, ratio = 1.006965, overshoot = 5.035905e+862
n =  1930, term = 13, ratio = 1.060999, overshoot = 2.312451e+869
n =  1942, term = 12, ratio = 1.041148, overshoot = 4.089144e+874
n =  1955, term = 13, ratio = 1.047816, overshoot = 4.982678e+880
n =  1967, term = 12, ratio = 1.024707, overshoot = 6.749025e+885
n =  1979, term = 12, ratio = 1.002931, overshoot = 2.098898e+890
n =  1992, term = 13, ratio = 1.025369, overshoot = 1.904880e+897
n =  2005, term = 13, ratio = 1.071672, overshoot = 2.821561e+903
n =  2017, term = 12, ratio = 1.050324, overshoot = 5.193425e+908
n =  2029, term = 12, ratio = 1.029399, overshoot = 7.953332e+913
n =  2041, term = 12, ratio = 1.008498, overshoot = 6.026574e+918
n =  2054, term = 13, ratio = 1.027510, overshoot = 2.045710e+925
n =  2066, term = 12, ratio = 1.004508, overshoot = 8.788672e+929
n =  2079, term = 13, ratio = 1.021257, overshoot = 4.345162e+936
n =  2092, term = 13, ratio = 1.066426, overshoot = 7.118801e+942
n =  2104, term = 12, ratio = 1.035166, overshoot = 9.879371e+947
n =  2116, term = 12, ratio = 1.011600, overshoot = 8.543245e+952
n =  2129, term = 13, ratio = 1.035184, overshoot = 2.717010e+959
n =  2141, term = 12, ratio = 1.013862, overshoot = 2.806135e+964
n =  2154, term = 13, ratio = 1.030020, overshoot = 6.372238e+970
n =  2166, term = 12, ratio = 1.005266, overshoot = 2.930163e+975
n =  2179, term = 13, ratio = 1.048551, overshoot = 1.416436e+982
n =  2191, term = 12, ratio = 1.027224, overshoot = 2.082057e+987
n =  2203, term = 12, ratio = 1.005829, overshoot = 1.168592e+992
n =  2216, term = 13, ratio = 1.023048, overshoot = 4.845097e+998
n =  2229, term = 13, ratio = 1.071842, overshoot = 7.918160e+1004
n =  2241, term = 12, ratio = 1.050739, overshoot = 1.465988e+1010
n =  2253, term = 12, ratio = 1.029610, overshoot = 2.242661e+1015
